27E 	-1845	-2500
27F 	-2000	-2190
27G 	-1790	-2134
27H 	-1692	-2500
28A 	-1500	-2500
28B 	-1340	-2340
28C 	-1135	-2135
28D 	-1500	-2345
28E 	-1345	-2500
28F 	-1500	-2134
28G 	-1290	-2134
28H 	-1192	-2500
29A 	-1000	-2500
29B 	-840	-2340
29C 	-635	-2135
29D 	-1000	-2345
29E 	-845	-2500
29F 	-943	-2134
29G 	-790	-2134
29H 	-692	-2500
30A 	-500	-2500
30B 	-340	-2340
30C 	-135	-2135
30D 	-500	-2345
30E 	-345	-2500
30F 	-500	-2134
30G 	-290	-2177
30H 	-192	-2500
31A 	-5000	-2000
31B 	-4840	-1840
31C 	-4635	-1635
31D 	-5000	-1845
31E 	-4845	-2000
31F 	-4943	-1634
31G 	-4790	-1677
31H 	-4692	-2000
32A 	-4500	-2000
32B 	-4340	-1840
32C 	-4135	-1635
32D 	-4500	-1845
32E 	-4345	-2000
32F 	-4500	-1690
32G 	-4345	-1634
32H 	-4135	-2000
33A 	-4000	-2000
33B 	-3840	-1840
33C 	-3635	-1635
33D 	-4000	-1845
33E 	-3845	-2000
33F 	-4000	-1634
33G 	-3845	-1634
33H 	-3635	-2000
34A 	-3500	-2000
34B 	-3340	-1840
34C 	-3135	-1635
34D 	-3500	-1845
34E 	-3345	-2000
34F 	-3500	-1690
34G 	-3290	-1634
34H 	-3135	-2000
35A 	-3000	-2000
35B 	-2840	-1840
35C 	-2635	-1635
35D 	-3000	-1845
35E 	-2845	-2000
35F 	-3000	-1634
35G 	-2790	-1634
35H 	-2635	-2000
36A 	-2500	-2000
36B 	-2340	-1840
36C 	-2135	-1635
36D 	-2500	-1845
36E 	-2345	-2000
36F 	-2443	-1690
36G 	-2290	-1634
36H 	-2135	-2000
37A 	-2000	-2000
37B 	-1840	-1840
37C 	-1635	-1635
37D 	-2000	-1845
37E 	-1845	-2000
37F 	-1943	-1634
37G 	-1790	-1634
37H 	-1635	-2000
38A 	-1500	-2000
38B 	-1340	-1840
38C 	-1135	-1635
38D 	-1500	-1845
38E 	-1345	-2000
38F 	-1500	-1690
38G 	-1290	-1677
38H 	-1135	-2000
39A 	-1000	-2000
39B 	-840	-1840
39C 	-635	-1635
39D 	-1000	-1845
39E 	-845	-2000
39F 	-1000	-1634
39G 	-790	-1677
39H 	-635	-2000
40A 	-500	-2000
40B 	-340	-1840
40C 	-135	-1635
40D 	-500	-1845
40E 	-345	-2000
40F 	-443	-1690
40G 	-290	-1677
40H 	-135	-2000
41A 	-5000	-1500
41B 	-4840	-1340
41C 	-4635	-1135
41D 	-5000	-1345
